V_BE5	g3_bjt5
8.89500000000000140E-1	-1.74001133042858000E1
8.90500000000000110E-1	-1.79048015588536420E1
8.91500000000000270E-1	-1.83818531568173780E1
8.92500000000000070E-1	-1.88320085818394030E1
8.93500000000000230E-1	-1.92560239967627210E1
8.94500000000000030E-1	-1.96546651774536050E1
8.95500000000000180E-1	-2.00287047494302860E1
8.96499999999999990E-1	-2.03789203194153320E1
8.97500000000000140E-1	-2.07060899703543730E1
8.98500000000000120E-1	-2.10109905072068770E1
8.99500000000000100E-1	-2.12943962559393010E1
9.00500000000000080E-1	-2.15570749731219640E1
9.01500000000000230E-1	-2.17997874639990030E1
9.02500000000000040E-1	-2.20232856438475680E1
9.03500000000000190E-1	-2.22283105039502220E1
9.04500000000000170E-1	-2.24155910715917230E1
9.05500000000000150E-1	-2.25858445514397270E1
9.06500000000000130E-1	-2.27397724443836100E1
9.07500000000000280E-1	-2.28780631826315030E1
9.08500000000000090E-1	-2.30013882913588710E1
9.09500000000000240E-1	-2.31104043845862030E1
9.10500000000000040E-1	-2.32057509257197260E1
9.11500000000000200E-1	-2.32880501715659660E1
9.12500000000000000E-1	-2.33579080321235420E1
9.13500000000000160E-1	-2.34159133568936140E1
9.14500000000000140E-1	-2.34626347212118840E1
9.15500000000000110E-1	-2.34986280461688460E1
9.16500000000000090E-1	-2.35244263034410710E1
9.17500000000000250E-1	-2.35405510876067540E1
9.18500000000000050E-1	-2.35474994441062570E1
9.19500000000000210E-1	-2.35457597128147840E1
9.20500000000000180E-1	-2.35357954312820140E1
9.21500000000000160E-1	-2.35180588434489080E1
9.22500000000000140E-1	-2.34929847284552680E1
9.23500000000000300E-1	-2.34609897543385020E1
9.24500000000000100E-1	-2.34224775519584540E1
9.25500000000000260E-1	-2.33778348270714310E1
9.26500000000000060E-1	-2.33274339850981560E1
9.27500000000000210E-1	-2.32716323080252920E1
9.28500000000000010E-1	-2.32107740256725980E1
9.29500000000000170E-1	-2.31451874812042880E1
9.30500000000000150E-1	-2.30751898637095780E1
9.31500000000000130E-1	-2.30010833012368240E1
9.32500000000000110E-1	-2.29231603913544250E1
9.33500000000000260E-1	-2.28416961796904290E1
9.34500000000000060E-1	-2.27569600184360570E1
9.35500000000000220E-1	-2.26692066084628110E1
9.36500000000000200E-1	-2.25786785316856920E1
9.37500000000000180E-1	-2.24856120036207360E1
9.38500000000000160E-1	-2.23902280472363160E1
9.39500000000000310E-1	-2.22927425054808340E1
9.40500000000000110E-1	-2.21933580616901830E1
9.41500000000000270E-1	-2.20922723651133300E1
9.42500000000000070E-1	-2.19896703282231700E1
9.43500000000000230E-1	-2.18857324964707270E1
9.44500000000000030E-1	-2.17806291411863740E1
9.45500000000000180E-1	-2.16745246744709340E1
9.46500000000000160E-1	-2.15675771137120260E1
9.47500000000000140E-1	-2.14599356890108160E1
9.48500000000000120E-1	-2.13517456761948220E1





